,custid,region,townsize,gender,agecat,edcat,jobcat,empcat,retire,lninc,inccat,debtinc,lncreddebt,lnothdebt,marital,spousedcat,reside,hometype,addresscat,carcatvalue,telecommute,reason,cardspent,tenure,churn,longmon,tollmon,cardmon,wiremon,multline,voice,internet,callwait,forward,confer,ebill,owntv,ownpc
1796,3495-VLHEGU-FUI,Zone 5,"< 2,500",Female,18-24,Some college,"Operation, Fabrication, General Labor",Less than 2,No,3.4011973816621555,$25 - $49,12.4,-1.1513803542067655,1.2248924545784394,Married,Some college,5.0,Multiple-Family,Less than 3,Economy,No,,308.16,23.0,No,5.15,0.0,10.0,0.0,Yes,No,Dial-up,No,No,No,Yes,Yes,Yes
1797,5641-RWPHPT-ZJX,Zone 5,"2,500-9,999",Female,18-24,Some college,"Operation, Fabrication, General Labor",Less than 2,No,2.772588722239781,Under $25,12.3,-0.28270249117142926,0.19413154355331227,Unmarried,,3.0,Single-family,Less than 3,Economy,Yes,,235.11,4.0,Yes,2.85,17.75,17.75,27.7,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1798,2113-LRPWIU-32N,Zone 1,"> 250,000",Female,25-34,Some college,Managerial and Professional,2 to 5,No,4.454347296253507,$75 - $124,15.1,1.8826532443916235,1.8586520922920804,Married,College degree,2.0,Condominium/Townhouse,4 to 7,Luxury,Yes,,399.71000000000004,43.0,No,8.45,0.0,5.0,0.0,Yes,No,Cable modem,No,No,No,No,Yes,Yes
1799,9466-MLGDEN-Z8B,Zone 3,"< 2,500",Female,18-24,High school degree,Sales and Office,Less than 2,No,2.8903717578961645,Under $25,11.4,-1.1716605148586896,0.5551188346377334,Unmarried,,1.0,Condominium/Townhouse,Less than 3,Economy,No,,323.25,6.0,No,5.35,0.0,0.0,0.0,No,No,None,No,No,Yes,No,Yes,No
1800,0459-QZFBYH-LUV,Zone 2,"2,500-9,999",Female,25-34,High school degree,"Precision Production, Craft, Repair",6 to 10,No,3.4339872044851463,$25 - $49,4.3999999999999995,-0.339666131678228,-0.42772298706941086,Married,High school degree,3.0,Single-family,4 to 7,Economy,Yes,,62.03,12.0,No,6.85,0.0,13.0,0.0,No,No,None,Yes,Yes,Yes,No,Yes,Yes
1801,4889-PHSVCV-WUX,Zone 3,"50,000-249,999",Female,>65,High school degree,"Precision Production, Craft, Repair",11 to 15,Yes,2.3978952727983707,Under $25,16.1,-0.5131650246984216,0.1590546357555676,Married,College degree,2.0,Multiple-Family,More than 25,Economy,No,Convenience,223.53,57.0,No,23.65,0.0,15.75,0.0,Yes,No,None,No,Yes,No,No,Yes,No
1802,8912-KKLHJN-FLS,Zone 4,"50,000-249,999",Male,>65,Did not complete high school,Agricultural and Natural Resources,More than 15,Yes,3.1354942159291497,Under $25,5.3,-1.5917306160662477,0.015309213683839971,Married,Did not complete high school,2.0,Single-family,More than 25,Economy,Yes,,333.02,72.0,No,50.75,0.0,33.25,0.0,Yes,No,None,No,No,No,No,Yes,No
1803,6907-UNTAVY-RH8,Zone 5,"50,000-249,999",Male,50-64,Post-undergraduate degree,Sales and Office,6 to 10,No,5.564520407322694,$125+,6.6000000000000005,2.0655337754990297,2.2339305928244912,Unmarried,,1.0,Single-family,16 to 25,Luxury,No,,1084.6200000000001,67.0,No,19.4,51.5,13.0,96.25,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
1804,1884-FTIEPD-RJH,Zone 3,"2,500-9,999",Male,>65,Some college,Managerial and Professional,More than 15,No,3.970291913552122,$50 - $74,3.3000000000000003,-0.5803900871518997,0.1733817152244803,Married,College degree,2.0,Single-family,8 to 15,Standard,No,,270.32,59.0,No,13.3,45.75,16.75,30.3,Yes,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
1805,9856-GTSPWN-TCM,Zone 3,"50,000-249,999",Male,>65,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,2.8903717578961645,Under $25,2.9000000000000004,-2.5079869628320983,-0.8196904754856782,Married,Did not complete high school,2.0,Multiple-Family,16 to 25,Economy,No,Prices,79.14,70.0,No,41.45,0.0,90.75,0.0,Yes,No,None,No,No,No,No,Yes,No
1806,9844-XTDOZB-DSM,Zone 4,"10,000-49,999",Male,50-64,College degree,Managerial and Professional,6 to 10,No,5.886104031450156,$125+,8.799999999999999,2.287723200143322,3.0831715589777464,Married,College degree,2.0,Single-family,16 to 25,Luxury,No,,233.27,40.0,No,12.45,35.0,15.5,50.6,No,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
1807,7036-OZLXUR-XS6,Zone 1,"50,000-249,999",Male,18-24,High school degree,Service,Less than 2,No,3.044522437723423,Under $25,2.7,-1.374832302216458,-1.1579865674892384,Married,High school degree,5.0,Condominium/Townhouse,Less than 3,Economy,No,,296.41,30.0,No,9.75,0.0,8.5,30.6,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1808,4870-TCJPAC-DKF,Zone 1,"> 250,000",Female,25-34,High school degree,Agricultural and Natural Resources,6 to 10,No,3.367295829986474,$25 - $49,0.4,-3.3548101021090337,-2.512269624624099,Unmarried,,2.0,Multiple-Family,4 to 7,Economy,No,,252.41,59.0,No,14.85,0.0,25.75,0.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
1809,3348-VWOBBR-QDR,Zone 3,"> 250,000",Female,18-24,High school degree,Managerial and Professional,Less than 2,No,2.995732273553991,Under $25,26.200000000000003,0.7888209306282278,1.1115943228912788,Unmarried,,1.0,Condominium/Townhouse,Less than 3,Economy,No,,113.96000000000001,2.0,Yes,5.25,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1810,7635-ZQYRQN-MJV,Zone 1,"50,000-249,999",Male,35-49,High school degree,Sales and Office,6 to 10,No,4.290459441148391,$50 - $74,11.899999999999999,1.188966571915234,1.6870124690348258,Married,College degree,6.0,Single-family,8 to 15,Luxury,Yes,,170.12,41.0,No,5.85,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1811,9024-AGZOPZ-2UQ,Zone 1,"50,000-249,999",Male,25-34,College degree,Sales and Office,Less than 2,No,3.7376696182833684,$25 - $49,7.000000000000001,-0.48223816691407806,0.8426872478295205,Unmarried,,1.0,Single-family,8 to 15,Economy,No,,291.95,30.0,Yes,9.05,0.0,17.5,39.2,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
1812,0151-FFFOZW-1S7,Zone 5,"< 2,500",Female,18-24,College degree,Sales and Office,Less than 2,No,3.5263605246161616,$25 - $49,6.800000000000001,0.10830178587859453,0.18033291408747706,Married,Some college,3.0,Condominium/Townhouse,4 to 7,Economy,No,,478.97,1.0,Yes,2.05,17.25,18.25,33.6,Yes,Yes,Cable modem,Yes,Yes,Yes,No,Yes,Yes
1813,0022-QFOJNN-XSH,Zone 3,"2,500-9,999",Male,35-49,High school degree,Sales and Office,2 to 5,No,3.7376696182833684,$25 - $49,3.5000000000000004,-0.5087777221486901,-0.14067686078539388,Married,High school degree,3.0,Single-family,8 to 15,Standard,No,,247.17000000000002,3.0,Yes,4.2,23.75,8.25,22.0,No,Yes,Other,Yes,Yes,Yes,No,Yes,Yes
1814,0172-EUUJNB-E99,Zone 2,"> 250,000",Male,>65,High school degree,Sales and Office,6 to 10,Yes,2.4849066497880004,Under $25,12.4,0.0963278436269784,-0.949640711555709,Married,High school degree,2.0,Single-family,More than 25,Economy,Yes,Convenience,189.42000000000002,69.0,No,16.95,0.0,37.75,0.0,No,No,None,No,No,No,Yes,Yes,No
1815,2397-DFGQLN-VTH,Zone 2,"> 250,000",Male,50-64,Did not complete high school,"Operation, Fabrication, General Labor",11 to 15,No,4.0943445622221,$50 - $74,5.5,-0.10436101532474286,0.8750936670238167,Married,Did not complete high school,4.0,Single-family,16 to 25,Standard,No,,856.85,62.0,No,17.45,0.0,29.75,0.0,Yes,No,None,No,No,No,No,Yes,No
1816,2659-TMGOHV-MS3,Zone 2,"10,000-49,999",Male,35-49,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,4.48863636973214,$75 - $124,17.4,1.4846702912510452,2.404463653676402,Married,High school degree,5.0,Single-family,8 to 15,Luxury,No,,197.78,66.0,Yes,37.2,39.75,18.5,0.0,Yes,No,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
1817,9723-TCTGWO-TZ0,Zone 3,"< 2,500",Female,25-34,High school degree,Sales and Office,2 to 5,No,3.367295829986474,$25 - $49,10.8,0.8117778568674662,-0.12772883151983425,Married,High school degree,3.0,Single-family,4 to 7,Economy,No,,157.96,13.0,No,9.75,16.75,11.25,0.0,No,No,None,No,Yes,Yes,No,Yes,No
1818,6533-EOSNEV-48X,Zone 5,"10,000-49,999",Male,35-49,College degree,Sales and Office,2 to 5,No,3.367295829986474,$25 - $49,11.700000000000001,0.46456197526623544,0.588721228061895,Married,High school degree,6.0,Single-family,4 to 7,Economy,Yes,,345.87,7.0,Yes,3.65,0.0,0.0,0.0,No,No,Cable modem,No,No,Yes,Yes,Yes,Yes
1819,5017-FIGTNG-G1E,Zone 4,"2,500-9,999",Male,25-34,Post-undergraduate degree,Service,2 to 5,No,3.4657359027997265,$25 - $49,7.8,-0.45573156145641924,0.621659771728805,Unmarried,,1.0,Multiple-Family,8 to 15,Economy,No,,543.97,35.0,No,8.0,0.0,15.75,0.0,Yes,No,Cable modem,No,No,No,Yes,Yes,Yes
1820,3784-JTJIKX-D8Y,Zone 4,"2,500-9,999",Male,50-64,High school degree,"Operation, Fabrication, General Labor",More than 15,No,4.634728988229636,$75 - $124,6.6000000000000005,-0.2549283793137173,1.7955901228968683,Unmarried,,1.0,Multiple-Family,8 to 15,Luxury,No,,458.3,4.0,No,4.95,0.0,15.0,24.15,No,No,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
1821,5041-GGZKPZ-G0U,Zone 2,"> 250,000",Male,18-24,High school degree,Managerial and Professional,Less than 2,No,3.6635616461296463,$25 - $49,22.7,0.07702215038003153,2.0506476992818916,Married,College degree,4.0,Condominium/Townhouse,4 to 7,Standard,No,,463.59000000000003,14.0,Yes,4.6,0.0,0.0,0.0,No,No,None,No,No,No,Yes,Yes,No
1822,0191-AWCKTC-J5K,Zone 4,"10,000-49,999",Male,35-49,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,5.0106352940962555,$125+,0.0,,,Married,Did not complete high school,2.0,Single-family,16 to 25,Luxury,No,,554.45,63.0,No,28.9,45.25,10.0,0.0,Yes,No,None,Yes,No,Yes,No,Yes,No
1823,2921-CWVHPN-WUQ,Zone 4,"10,000-49,999",Male,18-24,Did not complete high school,Agricultural and Natural Resources,2 to 5,No,2.8903717578961645,Under $25,26.5,-0.06220524534389867,1.3429457398648745,Unmarried,,3.0,Multiple-Family,Less than 3,Economy,No,,185.20000000000002,7.0,Yes,3.55,16.0,33.25,0.0,No,No,None,Yes,Yes,Yes,Yes,Yes,Yes
1824,6722-XLYUTK-TM4,Zone 5,"< 2,500",Male,18-24,Did not complete high school,Managerial and Professional,Less than 2,No,2.9444389791664403,Under $25,1.7999999999999998,-2.5382821103798756,-1.3356088513960251,Married,Did not complete high school,4.0,Multiple-Family,Less than 3,Economy,Yes,,241.52,13.0,No,10.7,30.25,42.0,0.0,No,No,None,No,Yes,Yes,No,Yes,No
1825,2636-MRPJKV-P08,Zone 4,"< 2,500",Male,50-64,College degree,Sales and Office,2 to 5,No,4.189654742026425,$50 - $74,1.0999999999999999,-2.391678636188,-0.4548801674839426,Unmarried,,4.0,Mobile Home,16 to 25,Luxury,No,Prices,236.46,7.0,No,3.8,22.0,0.0,24.85,Yes,No,None,Yes,Yes,Yes,No,Yes,No
1826,2036-JPTITN-SIB,Zone 5,"50,000-249,999",Female,25-34,High school degree,Managerial and Professional,6 to 10,No,3.5263605246161616,$25 - $49,1.0999999999999999,-2.4663047430683394,-1.2409757119623204,Married,High school degree,4.0,Single-family,4 to 7,Economy,No,,1050.97,37.0,No,15.3,0.0,25.0,0.0,No,No,Dial-up,No,No,No,No,Yes,Yes
1827,8421-DYVXGZ-ZT3,Zone 4,"< 2,500",Male,35-49,College degree,Sales and Office,Less than 2,No,3.6375861597263857,$25 - $49,16.7,-0.5381420087720928,1.75131379278016,Unmarried,,1.0,Single-family,16 to 25,Economy,No,Convenience,111.9,25.0,Yes,6.85,31.75,26.25,0.0,No,No,None,Yes,Yes,Yes,No,Yes,Yes
1828,6928-BBWNYG-IMS,Zone 5,"< 2,500",Female,25-34,High school degree,Sales and Office,Less than 2,No,2.995732273553991,Under $25,12.6,-0.0592405800442732,0.4558539936412934,Married,Did not complete high school,2.0,Single-family,4 to 7,Economy,No,,466.55,10.0,Yes,4.55,18.75,0.0,0.0,No,No,Dial-up,No,Yes,Yes,Yes,Yes,Yes
1829,3802-ZEZAHK-BCU,Zone 1,"> 250,000",Female,>65,Did not complete high school,Sales and Office,11 to 15,Yes,3.367295829986474,$25 - $49,6.7,-0.024921988895104732,-0.03292203156218112,Married,Did not complete high school,2.0,Multiple-Family,16 to 25,Economy,No,,466.91,13.0,No,7.8,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1830,0047-PFHDOH-EWY,Zone 5,"2,500-9,999",Female,50-64,College degree,Service,More than 15,No,4.709530201312334,$75 - $124,3.6999999999999997,0.901867211208431,0.49640210310026633,Married,Did not complete high school,2.0,Condominium/Townhouse,16 to 25,Luxury,No,,305.87,70.0,No,26.25,0.0,30.0,0.0,Yes,No,Dial-up,No,No,Yes,No,Yes,Yes
1831,7037-HREPGA-23R,Zone 5,"10,000-49,999",Female,50-64,College degree,Sales and Office,2 to 5,No,3.258096538021482,$25 - $49,15.4,0.519793293748251,0.8425666860113019,Married,High school degree,3.0,Single-family,More than 25,Economy,No,Convenience,587.95,42.0,Yes,8.1,17.5,6.0,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
1832,5396-IYJCWH-7KY,Zone 1,"> 250,000",Female,35-49,Some college,Managerial and Professional,2 to 5,No,3.8066624897703196,$25 - $49,10.5,0.53675649378934,1.1034505653083588,Unmarried,,2.0,Single-family,8 to 15,Economy,No,,261.32,4.0,Yes,4.0,0.0,0.0,0.0,No,No,DSL,No,No,No,No,Yes,Yes
1833,5431-XGWNHL-58U,Zone 5,"50,000-249,999",Female,35-49,College degree,Sales and Office,2 to 5,No,4.143134726391533,$50 - $74,13.4,-0.3437192327785163,2.0454803330523004,Married,Some college,4.0,Condominium/Townhouse,16 to 25,Standard,No,,156.49,42.0,Yes,9.75,0.0,15.5,34.15,Yes,No,Dial-up,Yes,Yes,No,Yes,Yes,Yes
1834,5341-FHGFBA-WNY,Zone 3,"10,000-49,999",Female,35-49,Some college,Sales and Office,2 to 5,No,3.8066624897703196,$25 - $49,3.4000000000000004,-4.084592270779423,0.4142067880449192,Married,Did not complete high school,2.0,Single-family,4 to 7,Economy,No,Prices,123.11,46.0,No,6.5,16.75,9.5,31.75,No,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
1835,1343-HIYHSB-ZO9,Zone 5,"50,000-249,999",Female,25-34,Did not complete high school,Agricultural and Natural Resources,11 to 15,No,3.367295829986474,$25 - $49,5.800000000000001,-2.362420026696231,0.46235444871412,Married,Did not complete high school,4.0,Multiple-Family,4 to 7,Economy,No,,418.62,66.0,No,13.05,0.0,6.5,0.0,Yes,No,None,No,No,No,No,Yes,No
1836,7476-JNHWIW-QIV,Zone 3,"2,500-9,999",Female,50-64,Did not complete high school,Sales and Office,6 to 10,No,3.9512437185814275,$50 - $74,8.3,-0.3765220293660172,1.2891654283866991,Unmarried,,1.0,Condominium/Townhouse,More than 25,,No,,361.21,58.0,No,21.1,25.5,45.0,0.0,No,Yes,None,Yes,Yes,Yes,Yes,Yes,No
1837,4742-ITTQQD-ZH8,Zone 1,"10,000-49,999",Male,25-34,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,3.4011973816621555,$25 - $49,6.800000000000001,-1.5313663770139447,0.6009003040475022,Unmarried,,1.0,Multiple-Family,4 to 7,Standard,No,,98.26,8.0,Yes,9.95,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1838,8600-EXZEPZ-Y7N,Zone 4,"< 2,500",Female,25-34,High school degree,Service,2 to 5,No,3.258096538021482,$25 - $49,2.1,-3.435354138313649,-0.6659484426339893,Married,Some college,2.0,Single-family,8 to 15,Economy,No,,105.25,23.0,Yes,4.15,0.0,20.25,54.1,Yes,Yes,Other,No,Yes,No,Yes,Yes,Yes
1839,1839-WGAZIY-NGC,Zone 2,"50,000-249,999",Female,35-49,Did not complete high school,Managerial and Professional,2 to 5,No,2.833213344056216,Under $25,9.8,-0.9901579637773673,0.2581106151301614,Married,Did not complete high school,5.0,Single-family,16 to 25,Economy,No,Prices,187.34,48.0,No,11.45,0.0,0.0,0.0,Yes,No,None,No,No,No,No,Yes,No
1840,5925-OWYQXP-AYO,Zone 3,"50,000-249,999",Female,50-64,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,2.6390573296152584,Under $25,1.7999999999999998,-2.9389739397353822,-1.6140485249917835,Unmarried,,1.0,Single-family,More than 25,Economy,No,,135.52,58.0,No,31.6,26.25,23.5,0.0,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
1841,2927-BECLMG-XEQ,Zone 3,"< 2,500",Female,35-49,High school degree,"Operation, Fabrication, General Labor",11 to 15,No,4.74493212836325,$75 - $124,11.200000000000001,0.515454892149653,2.4164136533427,Married,Did not complete high school,4.0,Mobile Home,8 to 15,Luxury,Yes,,463.94,32.0,No,12.9,0.0,0.0,0.0,Yes,Yes,None,Yes,No,Yes,No,Yes,Yes
1842,3811-XQBBND-PAH,Zone 5,"10,000-49,999",Male,50-64,Some college,Managerial and Professional,More than 15,No,4.204692619390966,$50 - $74,7.1,0.9341286853640138,0.7938993440553637,Married,High school degree,3.0,Mobile Home,More than 25,Standard,No,,283.16,55.0,No,17.9,0.0,0.0,0.0,Yes,No,Dial-up,No,No,No,Yes,Yes,Yes
1843,3755-NMPIHN-QPI,Zone 5,"< 2,500",Female,50-64,Did not complete high school,Service,More than 15,No,4.343805421853684,$75 - $124,6.800000000000001,0.2968786539607365,1.3584986137832757,Unmarried,,1.0,Multiple-Family,16 to 25,Luxury,No,,317.65000000000003,67.0,No,20.4,0.0,27.75,0.0,No,No,None,Yes,No,No,No,Yes,No
1844,5615-OUFXJT-96Q,Zone 2,"> 250,000",Female,>65,Did not complete high school,Managerial and Professional,11 to 15,No,3.4011973816621555,$25 - $49,3.0,-0.5088276211033177,-1.207980825723475,Unmarried,,1.0,Multiple-Family,16 to 25,Economy,Yes,Prices,158.44,35.0,No,7.85,20.25,11.5,0.0,No,No,None,Yes,No,Yes,No,Yes,No
1845,4853-OENMTN-6XJ,Zone 1,"> 250,000",Female,50-64,Did not complete high school,Sales and Office,More than 15,Yes,2.772588722239781,Under $25,8.5,-0.2921721377246457,-0.48880323973149803,Unmarried,,1.0,Mobile Home,More than 25,Economy,No,,233.07,68.0,No,10.25,0.0,26.5,0.0,No,No,None,No,No,No,No,Yes,No
1846,3115-ACYQUK-6SD,Zone 3,"50,000-249,999",Male,35-49,College degree,Managerial and Professional,2 to 5,No,4.02535169073515,$50 - $74,8.799999999999999,-2.422450294854754,1.5767692556035475,Unmarried,,1.0,Multiple-Family,8 to 15,Economy,No,,212.6,33.0,No,14.45,30.0,10.5,0.0,No,No,Cable modem,Yes,No,Yes,Yes,Yes,Yes
1847,0331-ADVLCH-6DA,Zone 4,"< 2,500",Female,25-34,High school degree,Agricultural and Natural Resources,6 to 10,No,2.772588722239781,Under $25,9.6,-1.1506974754670756,0.1985098169904791,Married,Did not complete high school,2.0,Single-family,4 to 7,Economy,No,,107.51,6.0,No,2.9,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1848,8678-ZQSKAK-MOQ,Zone 1,"> 250,000",Female,50-64,Some college,Managerial and Professional,2 to 5,No,3.6109179126442243,$25 - $49,12.0,1.0474874011519575,0.4634320838626965,Married,High school degree,5.0,Condominium/Townhouse,16 to 25,Economy,No,,326.26,27.0,No,6.3,0.0,0.0,0.0,No,No,None,No,No,Yes,No,Yes,No
1849,4259-BEYDAI-QIM,Zone 3,"50,000-249,999",Female,>65,High school degree,Sales and Office,More than 15,Yes,2.3978952727983707,Under $25,21.5,0.49980815372228293,-0.3332444515288715,Unmarried,,1.0,Single-family,More than 25,Economy,No,,13.01,65.0,Yes,16.0,0.0,23.25,0.0,Yes,No,None,Yes,No,No,Yes,Yes,No
1850,4275-IOZLLU-SSP,Zone 2,"10,000-49,999",Male,35-49,College degree,Sales and Office,2 to 5,No,4.007333185232471,$50 - $74,11.600000000000001,0.5943870565357675,1.519092985335207,Unmarried,,2.0,Single-family,8 to 15,,No,,281.75,13.0,No,3.45,0.0,8.25,0.0,No,Yes,Cable modem,No,Yes,No,Yes,Yes,Yes
1851,0499-EVFWPP-329,Zone 4,"50,000-249,999",Female,>65,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,3.332204510175204,$25 - $49,12.7,0.7221835162425164,0.4035138723519024,Unmarried,,1.0,Multiple-Family,4 to 7,Economy,No,,454.92,68.0,No,12.4,0.0,16.25,0.0,Yes,No,None,No,No,No,No,Yes,No
1852,5096-RXNPBW-RPT,Zone 1,"50,000-249,999",Male,35-49,High school degree,Sales and Office,2 to 5,No,3.5263605246161616,$25 - $49,13.700000000000001,0.5683670975624385,1.0621619744134911,Unmarried,,1.0,Single-family,4 to 7,Standard,No,,438.76,1.0,Yes,2.3,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1853,4023-IGMCSH-XUV,Zone 4,"< 2,500",Female,50-64,High school degree,Sales and Office,2 to 5,No,3.6888794541139363,$25 - $49,15.9,0.4952326832915112,1.5516223415372743,Unmarried,,1.0,Single-family,16 to 25,,No,,398.76,35.0,No,13.35,14.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1854,8239-QTBUOJ-M5V,Zone 5,"10,000-49,999",Female,50-64,College degree,Managerial and Professional,More than 15,No,4.605170185988092,$75 - $124,4.5,-0.8603830999358592,1.4053614238371164,Unmarried,,3.0,Mobile Home,More than 25,Luxury,No,,470.96000000000004,5.0,No,5.25,21.25,0.0,0.0,No,No,Dial-up,Yes,Yes,Yes,No,Yes,Yes
1855,2443-NHYQMG-T65,Zone 1,"> 250,000",Male,50-64,High school degree,"Operation, Fabrication, General Labor",More than 15,No,3.6888794541139363,$25 - $49,12.8,0.8257181120893433,1.0425638468165632,Married,Did not complete high school,2.0,Condominium/Townhouse,8 to 15,Standard,No,Other,153.70000000000002,56.0,No,11.95,0.0,15.75,0.0,Yes,Yes,Cable modem,No,Yes,Yes,No,Yes,Yes
1856,0687-SNFXTL-5KT,Zone 3,"< 2,500",Male,50-64,High school degree,Sales and Office,2 to 5,No,3.871201010907891,$25 - $49,3.6999999999999997,-0.5373338836467869,0.17537750255952295,Married,High school degree,2.0,Single-family,More than 25,Standard,No,,761.42,42.0,No,13.4,0.0,9.75,0.0,No,No,None,No,No,No,No,Yes,No
1857,9369-XNVHLO-UD1,Zone 2,"> 250,000",Male,50-64,College degree,Sales and Office,2 to 5,No,4.060443010546419,$50 - $74,5.5,-0.4054001102205728,0.9255636055822699,Married,Some college,4.0,Multiple-Family,16 to 25,Standard,No,,755.23,52.0,No,8.0,0.0,0.0,0.0,Yes,No,None,No,No,No,No,Yes,No
1858,5222-YADDNK-22Q,Zone 3,"2,500-9,999",Male,18-24,Some college,Sales and Office,Less than 2,No,3.4011973816621555,$25 - $49,17.0,0.07334339422420959,1.3922515815940173,Unmarried,,3.0,Multiple-Family,Less than 3,Economy,No,,492.98,7.0,Yes,6.15,0.0,0.0,0.0,Yes,Yes,Other,No,Yes,No,No,Yes,Yes
1859,4868-BKHDDL-S35,Zone 3,"2,500-9,999",Male,35-49,High school degree,Agricultural and Natural Resources,11 to 15,No,3.295836866004329,$25 - $49,4.1000000000000005,-1.0760018422820627,-0.26651566963796774,Unmarried,,1.0,Condominium/Townhouse,8 to 15,Economy,No,,173.13,54.0,No,27.6,20.0,6.5,0.0,No,No,None,No,Yes,Yes,No,Yes,Yes
1860,7949-VXATWD-7FV,Zone 1,"> 250,000",Male,18-24,High school degree,Agricultural and Natural Resources,2 to 5,No,3.5553480614894135,$25 - $49,19.7,1.3877919891150394,1.0609121521852658,Unmarried,,2.0,Multiple-Family,Less than 3,,Yes,,249.28,4.0,Yes,2.9,12.75,8.75,19.6,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
1861,5505-CSHNID-HX7,Zone 1,"> 250,000",Female,50-64,High school degree,Sales and Office,6 to 10,No,3.9512437185814275,$50 - $74,5.5,0.003852569315489954,0.6184990625537141,Married,Did not complete high school,2.0,Multiple-Family,8 to 15,Standard,No,,246.5,33.0,No,5.0,12.0,0.0,0.0,No,No,None,No,Yes,Yes,No,Yes,No
1862,5948-HWQRTV-36O,Zone 2,"< 2,500",Female,50-64,Some college,Sales and Office,11 to 15,No,4.859812404361672,$125+,8.4,-0.535897308195014,2.32736121429259,Married,Some college,2.0,Single-family,16 to 25,Luxury,No,,238.88,40.0,No,9.05,0.0,0.0,0.0,Yes,No,None,Yes,No,Yes,No,Yes,No
1863,2243-VPPSUB-QDD,Zone 4,"50,000-249,999",Female,18-24,High school degree,Managerial and Professional,Less than 2,No,2.772588722239781,Under $25,1.5,-3.1091249609090816,-1.6329112686197427,Married,Did not complete high school,7.0,Condominium/Townhouse,Less than 3,Economy,No,Prices,187.43,7.0,No,4.15,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1864,2435-DERRXC-V3A,Zone 5,"> 250,000",Female,>65,College degree,"Operation, Fabrication, General Labor",More than 15,No,6.035481432524756,$125+,13.900000000000002,2.663833144319151,3.7785100354910677,Unmarried,,1.0,Single-family,8 to 15,Luxury,Yes,Other,878.86,31.0,No,5.9,0.0,8.75,0.0,Yes,No,Other,Yes,No,Yes,No,Yes,Yes
1865,6249-XKBUFA-6KS,Zone 2,"50,000-249,999",Male,50-64,High school degree,Sales and Office,More than 15,Yes,2.3978952727983707,Under $25,2.8000000000000003,-2.5324511900690823,-1.476061531823319,Married,High school degree,2.0,Multiple-Family,More than 25,Economy,No,,305.58,39.0,No,4.55,0.0,0.0,0.0,No,No,None,No,No,No,No,No,No
1866,0370-ZJULGD-MOV,Zone 1,"> 250,000",Male,35-49,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,4.127134385045092,$50 - $74,5.6000000000000005,0.39375953104459127,0.6878612345307062,Unmarried,,1.0,Multiple-Family,16 to 25,Luxury,No,Prices,331.84000000000003,22.0,No,6.35,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
1867,1671-PKGKTT-E3S,Zone 5,"50,000-249,999",Male,>65,Some college,Sales and Office,6 to 10,Yes,2.8903717578961645,Under $25,10.4,-1.2055740856929098,0.4526539909106225,Married,Did not complete high school,2.0,Single-family,More than 25,Economy,No,,201.87,71.0,No,53.5,0.0,22.5,0.0,Yes,Yes,Cable modem,No,No,Yes,Yes,Yes,Yes
1868,7452-ZTELNL-FA6,Zone 4,"2,500-9,999",Female,25-34,College degree,Managerial and Professional,Less than 2,No,3.4965075614664802,$25 - $49,18.2,1.0691525815164846,1.1291705912427377,Unmarried,,3.0,Mobile Home,Less than 3,Economy,No,,239.1,8.0,Yes,5.6,37.75,23.0,40.4,No,Yes,Cable modem,Yes,Yes,Yes,Yes,Yes,Yes
